City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
675,Wahiawa,US,71.92,21.5028,-158.0236,
676,Corinto,GR,72.45,37.9407,22.9573,
679,Tukrah,LY,78.31,32.5341,20.5791,
680,Santiago,CL,67.28,-33.4569,-70.6483,
683,Wuzhou,CN,69.28,23.4833,111.3167,
689,Axim,GH,78.15,4.8699,-2.2405,
690,Yenagoa,NG,79.7,4.9247,6.2642,
692,Hargeysa,SO,75.04,9.56,44.065,
693,Dawei,MM,76.69,14.0833,98.2,
701,Sao Luiz Gonzaga,BR,76.14,-28.4083,-54.9608,"Hotel Ipê ""Sob nova Direção"""
